bgc_id,product,bigscape_class,genome_id,accn_id,gcf_0.50,gcf_0.30,gcf_0.40,Clan Number,fam_id_0.30,fam_type_0.30,fam_known_compounds_0.30,fam_id_0.40,fam_type_0.40,fam_known_compounds_0.40
CP128129.1.region010,lanthipeptide-class-ii.cyclic-lactone-autoinducer,RiPPs,GCA_030292205.1,CP128129.1,3031,3031,3060,2582,84,unknown_family,u_RiPPs_84,58,known_family,cytolysin ClyLl;cytolysin ClyLs
CP128129.1.region011,lassopeptide,RiPPs,GCA_030292205.1,CP128129.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21
CP128129.1.region004,NRP-metallophore.NRPS,Others,GCA_030292205.1,CP128129.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
CP128129.1.region001,LAP,RiPPs,GCA_030292205.1,CP128129.1,3566,3566,3566,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
CP128129.1.region006,NRPS,NRPS,GCA_030292205.1,CP128129.1,2940,2940,2940,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13
CP128129.1.region005,betalactone,Others,GCA_030292205.1,CP128129.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP128129.1.region003,NI-siderophore,Others,GCA_030292205.1,CP128129.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP128129.1.region009,terpene,Terpene,GCA_030292205.1,CP128129.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP128135.1.region002,lanthipeptide-class-iii,RiPPs,GCA_030292205.1,CP128135.1,3046,3046,3046,2582,75,unknown_family,u_RiPPs_75,73,unknown_family,u_RiPPs_73
CP128129.1.region002,T1PKS.NRPS,PKS-NRP_Hybrids,GCA_030292205.1,CP128129.1,3023,3023,3023,1023,97,unknown_family,u_PKS-NRP_Hybrids_97,89,unknown_family,u_PKS-NRP_Hybrids_89
CP126097.1.region001,NRPS,NRPS,GCA_030123145.1,CP126097.1,2550,2550,2550,,9,known_family,surfactin,11,known_family,surfactin
CP126097.1.region009,sactipeptide,RiPPs,GCA_030123145.1,CP126097.1,3316,3316,3316,3316,19,known_family,subtilosin A,18,known_family,subtilosin A
CP126097.1.region005,terpene,Terpene,GCA_030123145.1,CP126097.1,3311,2555,3311,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6
CP126097.1.region003,transAT-PKS.PKS-like.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_030123145.1,CP126097.1,2553,2553,2553,2553,10,known_family,bacillaene,12,known_family,bacillaene
CP126097.1.region008,CDPS,NRPS,GCA_030123145.1,CP126097.1,2559,2559,2559,,32,known_family,pulcherriminic acid,27,known_family,pulcherriminic acid
CP126097.1.region002,terpene,Terpene,GCA_030123145.1,CP126097.1,3099,3099,3099,3099,23,unknown_family,u_Terpene_23,20,unknown_family,u_Terpene_20
CP126097.1.region010,other,Others,GCA_030123145.1,CP126097.1,3317,3317,3317,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin
CP126097.1.region006,T3PKS,PKSother,GCA_030123145.1,CP126097.1,3195,3103,3195,,22,unknown_family,u_PKSother_22,4,unknown_family,u_PKSother_4
CP126097.1.region007,NRP-metallophore.NRPS,Others,GCA_030123145.1,CP126097.1,3314,3197,3197,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2
CP126097.1.region004,betalactone.NRPS,Others,GCA_030123145.1,CP126097.1,2554,3101,2554,794,20,unknown_family,u_Others_20,1,known_family,fengycin
JAUCET010000002.1.region009,LAP.thiopeptide,RiPPs,GCA_030348835.1,JAUCET010000002.1,3171,3171,3171,2582,122,unknown_family,u_RiPPs_122,111,unknown_family,u_RiPPs_111
JAUCET010000002.1.region002,NRPS,NRPS,GCA_030348835.1,JAUCET010000002.1,2550,2550,2550,,9,known_family,surfactin,11,known_family,surfactin
JAUCET010000002.1.region004,terpene,Terpene,GCA_030348835.1,JAUCET010000002.1,2719,2719,2719,2719,23,unknown_family,u_Terpene_23,20,unknown_family,u_Terpene_20
JAUCET010000002.1.region013,other,Others,GCA_030348835.1,JAUCET010000002.1,3317,3317,3317,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin
JAUCET010000002.1.region006,transAT-PKS.betalactone.NRPS,Others,GCA_030348835.1,JAUCET010000002.1,3422,3101,3422,794,20,unknown_family,u_Others_20,1,known_family,fengycin
JAUCET010000002.1.region008,T3PKS,PKSother,GCA_030348835.1,JAUCET010000002.1,3195,3103,3195,,22,unknown_family,u_PKSother_22,4,unknown_family,u_PKSother_4
JAUCET010000002.1.region007,terpene,Terpene,GCA_030348835.1,JAUCET010000002.1,2683,2555,2683,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6
JAUCET010000002.1.region005,transAT-PKS.PKS-like.NRPS,PKS-NRP_Hybrids,GCA_030348835.1,JAUCET010000002.1,2553,2553,2553,2553,10,known_family,bacillaene,12,known_family,bacillaene
JAUCET010000002.1.region011,CDPS,NRPS,GCA_030348835.1,JAUCET010000002.1,2559,2559,2559,,32,known_family,pulcherriminic acid,27,known_family,pulcherriminic acid
JAUCET010000002.1.region003,T1PKS.NRPS,PKS-NRP_Hybrids,GCA_030348835.1,JAUCET010000002.1,2621,3165,2621,1023,137,unknown_family,u_PKS-NRP_Hybrids_137,39,unknown_family,u_PKS-NRP_Hybrids_39
JAUCET010000002.1.region012,sactipeptide,RiPPs,GCA_030348835.1,JAUCET010000002.1,3199,3199,3199,3199,19,known_family,subtilosin A,18,known_family,subtilosin A
JAUCET010000002.1.region010,NRP-metallophore.NRPS,Others,GCA_030348835.1,JAUCET010000002.1,3197,3197,3197,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2
JAUCET010000002.1.region001,lanthipeptide-class-ii,RiPPs,GCA_030348835.1,JAUCET010000002.1,3163,3163,3163,2582,120,unknown_family,u_RiPPs_120,110,unknown_family,u_RiPPs_110
JAUCFP010000006.1.region002,terpene,Terpene,GCA_030348385.1,JAUCFP010000006.1,3411,3411,3411,2488,366,unknown_family,u_Terpene_366,320,unknown_family,u_Terpene_320
JAUCFP010000006.1.region004,NRPS.ladderane,Others,GCA_030348385.1,JAUCFP010000006.1,3413,3413,3413,794,160,unknown_family,u_Others_160,147,unknown_family,u_Others_147
JAUCFP010000006.1.region001,LAP.terpene,Others,GCA_030348385.1,JAUCFP010000006.1,3410,3410,3410,794,141,unknown_family,u_Others_141,130,unknown_family,u_Others_130
JAUCFP010000006.1.region005,T3PKS,PKSother,GCA_030348385.1,JAUCFP010000006.1,3414,3414,3414,,90,unknown_family,u_PKSother_90,84,unknown_family,u_PKSother_84
JAUCFP010000006.1.region003,NI-siderophore,Others,GCA_030348385.1,JAUCFP010000006.1,2734,2734,2734,794,68,unknown_family,u_Others_68,67,unknown_family,u_Others_67
JAUCES010000005.1.region004,NI-siderophore,Others,GCA_030348825.1,JAUCES010000005.1,3583,3186,3583,794,173,unknown_family,u_Others_173,3,unknown_family,u_Others_3
JAUCES010000005.1.region005,terpene,Terpene,GCA_030348825.1,JAUCES010000005.1,3187,3187,3187,2488,363,unknown_family,u_Terpene_363,317,unknown_family,u_Terpene_317
JAUCES010000005.1.region003,LAP,RiPPs,GCA_030348825.1,JAUCES010000005.1,3185,3185,3185,2582,256,unknown_family,u_RiPPs_256,227,unknown_family,u_RiPPs_227
JAUCES010000005.1.region001,T3PKS,PKSother,GCA_030348825.1,JAUCES010000005.1,3495,3495,3495,,63,unknown_family,u_PKSother_63,63,unknown_family,u_PKSother_63
JAUCES010000005.1.region002,terpene,Terpene,GCA_030348825.1,JAUCES010000005.1,3184,3184,3184,2488,350,unknown_family,u_Terpene_350,304,unknown_family,u_Terpene_304
CP126079.1.region004,transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030122785.1,CP126079.1,2505,2505,2505,1023,373,unknown_family,u_PKS-NRP_Hybrids_373,327,unknown_family,u_PKS-NRP_Hybrids_327
CP126079.1.region006,lanthipeptide-class-i,RiPPs,GCA_030122785.1,CP126079.1,2507,2507,2507,2582,106,known_family,paenilan,98,known_family,paenilan
CP126079.1.region002,transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030122785.1,CP126079.1,2503,2503,2503,1023,376,unknown_family,u_PKS-NRP_Hybrids_376,330,unknown_family,u_PKS-NRP_Hybrids_330
CP126079.1.region009,NRPS,NRPS,GCA_030122785.1,CP126079.1,2511,2510,2511,,86,known_family,tridecaptin;tridecaptin M,61,known_family,tridecaptin;tridecaptin M
CP126079.1.region013,transAT-PKS.PKS-like.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_030122785.1,CP126079.1,2514,2514,2514,1023,379,unknown_family,u_PKS-NRP_Hybrids_379,332,unknown_family,u_PKS-NRP_Hybrids_332
CP126079.1.region014,lanthipeptide-class-i,RiPPs,GCA_030122785.1,CP126079.1,2515,2515,2515,2582,226,unknown_family,u_RiPPs_226,203,unknown_family,u_RiPPs_203
CP126079.1.region001,NRPS,NRPS,GCA_030122785.1,CP126079.1,1077,1077,1077,,125,known_family,fusaricidin B,114,known_family,fusaricidin B
CP126079.1.region011,betalactone,Others,GCA_030122785.1,CP126079.1,2512,2512,2512,794,165,unknown_family,u_Others_165,151,unknown_family,u_Others_151
CP126079.1.region005,lassopeptide,RiPPs,GCA_030122785.1,CP126079.1,2506,2506,2506,2582,243,unknown_family,u_RiPPs_243,216,unknown_family,u_RiPPs_216
CP126079.1.region008,cyclic-lactone-autoinducer.NRPS-like,Others,GCA_030122785.1,CP126079.1,2509,2509,2509,794,147,unknown_family,u_Others_147,135,unknown_family,u_Others_135
CP126079.1.region017,lanthipeptide-class-i,RiPPs,GCA_030122785.1,CP126079.1,745,2518,2518,2582,187,unknown_family,u_RiPPs_187,168,unknown_family,u_RiPPs_168
CP126079.1.region003,proteusin,RiPPs,GCA_030122785.1,CP126079.1,2504,2504,2504,2582,233,unknown_family,u_RiPPs_233,208,unknown_family,u_RiPPs_208
CP126079.1.region012,cyclic-lactone-autoinducer,RiPPs,GCA_030122785.1,CP126079.1,2513,2513,2513,2582,285,unknown_family,u_RiPPs_285,250,unknown_family,u_RiPPs_250
CP126079.1.region016,NRPS,NRPS,GCA_030122785.1,CP126079.1,380,380,380,,47,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B,43,known_family,polymyxin B;macolacin;polymyxin;colistin A;colistin B
CP126079.1.region015,ranthipeptide,RiPPs,GCA_030122785.1,CP126079.1,2516,2516,2516,2582,197,unknown_family,u_RiPPs_197,176,unknown_family,u_RiPPs_176
CP126079.1.region010,NRPS,NRPS,GCA_030122785.1,CP126079.1,2511,2511,2511,,298,unknown_family,u_NRPS_298,61,known_family,tridecaptin;tridecaptin M
CP126079.1.region007,cyclic-lactone-autoinducer,RiPPs,GCA_030122785.1,CP126079.1,2508,2508,2508,2582,230,unknown_family,u_RiPPs_230,205,unknown_family,u_RiPPs_205
JAVIVY010000003.1.region009,terpene,Terpene,GCA_031324095.1,JAVIVY010000003.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
JAVIVY010000003.1.region004,RiPP-like,RiPPs,GCA_031324095.1,JAVIVY010000003.1,2975,2975,2975,2582,46,unknown_family,u_RiPPs_46,42,unknown_family,u_RiPPs_42
JAVIVY010000003.1.region001,LAP,RiPPs,GCA_031324095.1,JAVIVY010000003.1,3065,3065,3065,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
JAVIVY010000032.1.region001,NRPS,NRPS,GCA_031324095.1,JAVIVY010000032.1,2910,2910,2910,,31,unknown_family,u_NRPS_31,26,unknown_family,u_NRPS_26
JAVIVY010000003.1.region002,NI-siderophore,Others,GCA_031324095.1,JAVIVY010000003.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin
JAVIVY010000003.1.region007,RiPP-like,RiPPs,GCA_031324095.1,JAVIVY010000003.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9
JAVIVY010000003.1.region003,NRP-metallophore.NRPS,Others,GCA_031324095.1,JAVIVY010000003.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
JAVIVY010000003.1.region006,NRPS,NRPS,GCA_031324095.1,JAVIVY010000003.1,2940,2940,2940,,15,unknown_family,u_NRPS_15,13,unknown_family,u_NRPS_13
JAVIVY010000003.1.region005,betalactone,Others,GCA_031324095.1,JAVIVY010000003.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
JAVIVY010000003.1.region008,lanthipeptide-class-i,RiPPs,GCA_031324095.1,JAVIVY010000003.1,3029,3029,3029,2582,60,unknown_family,u_RiPPs_60,56,unknown_family,u_RiPPs_56
JAVIVY010000002.1.region001,lassopeptide,RiPPs,GCA_031324095.1,JAVIVY010000002.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21
CP126078.1.region004,transAT-PKS.T1PKS.NRPS,PKS-NRP_Hybrids,GCA_030122765.1,CP126078.1,2496,2496,2496,1023,138,unknown_family,u_PKS-NRP_Hybrids_138,126,unknown_family,u_PKS-NRP_Hybrids_126
CP126078.1.region007,RiPP-like,RiPPs,GCA_030122765.1,CP126078.1,3513,3513,3513,2582,115,unknown_family,u_RiPPs_115,107,unknown_family,u_RiPPs_107
CP126078.1.region002,LAP,RiPPs,GCA_030122765.1,CP126078.1,2494,2494,2494,2582,221,unknown_family,u_RiPPs_221,198,unknown_family,u_RiPPs_198
CP126078.1.region005,T3PKS,PKSother,GCA_030122765.1,CP126078.1,2497,2497,2497,,133,unknown_family,u_PKSother_133,122,unknown_family,u_PKSother_122
CP126078.1.region008,NRP-metallophore.NRPS,Others,GCA_030122765.1,CP126078.1,3512,2500,2500,794,167,unknown_family,u_Others_167,153,unknown_family,u_Others_153
CP126078.1.region001,opine-like-metallophore,Others,GCA_030122765.1,CP126078.1,2493,2493,2493,794,159,unknown_family,u_Others_159,146,unknown_family,u_Others_146
CP126078.1.region006,terpene,Terpene,GCA_030122765.1,CP126078.1,3514,3514,3514,2488,134,unknown_family,u_Terpene_134,123,unknown_family,u_Terpene_123
CP126078.1.region009,cyclic-lactone-autoinducer,RiPPs,GCA_030122765.1,CP126078.1,2501,2501,2501,2582,123,unknown_family,u_RiPPs_123,112,unknown_family,u_RiPPs_112
CP126078.1.region003,NI-siderophore,Others,GCA_030122765.1,CP126078.1,2495,2495,2495,794,148,unknown_family,u_Others_148,136,unknown_family,u_Others_136
CP126098.1.region001,NRPS,NRPS,GCA_030123165.1,CP126098.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine
CP126098.1.region006,lassopeptide,RiPPs,GCA_030123165.1,CP126098.1,3007,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22
CP126098.1.region003,betalactone,Others,GCA_030123165.1,CP126098.1,3422,3422,3422,794,13,unknown_family,u_Others_13,1,known_family,fengycin
CP126098.1.region005,terpene,Terpene,GCA_030123165.1,CP126098.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17
CP126098.1.region009,NI-siderophore,Others,GCA_030123165.1,CP126098.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
CP126098.1.region008,terpene,Terpene,GCA_030123165.1,CP126098.1,2583,2617,2583,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16
CP126098.1.region004,T3PKS,PKSother,GCA_030123165.1,CP126098.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15
CP126098.1.region007,LAP,RiPPs,GCA_030123165.1,CP126098.1,3549,3549,3549,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14
CP126098.1.region002,NRPS,NRPS,GCA_030123165.1,CP126098.1,3003,3003,3003,,39,unknown_family,u_NRPS_39,32,unknown_family,u_NRPS_32
JAUCFS010000005.1.region004,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3323,3332,3332,2582,70,unknown_family,u_RiPPs_70,54,unknown_family,u_RiPPs_54
JAUCFS010000005.1.region001,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3432,3432,3432,2582,83,unknown_family,u_RiPPs_83,82,unknown_family,u_RiPPs_82
JAUCFS010000005.1.region007,terpene,Terpene,GCA_030348325.1,JAUCFS010000005.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
JAUCFS010000004.1.region001,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000004.1,3431,3431,3431,2582,77,unknown_family,u_RiPPs_77,55,unknown_family,u_RiPPs_55
JAUCFS010000005.1.region003,NI-siderophore,Others,GCA_030348325.1,JAUCFS010000005.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin
JAUCFS010000005.1.region008,lassopeptide,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3327,3327,3327,2582,24,unknown_family,u_RiPPs_24,21,unknown_family,u_RiPPs_21
JAUCFS010000005.1.region002,LAP,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3433,3433,3433,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
JAUCFS010000005.1.region006,RiPP-like,RiPPs,GCA_030348325.1,JAUCFS010000005.1,3325,3325,3325,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9
JAUCFS010000005.1.region005,betalactone,Others,GCA_030348325.1,JAUCFS010000005.1,3563,3453,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
JAUCFR010000004.1.region004,NRP-metallophore.NRPS,Others,GCA_030348365.1,JAUCFR010000004.1,3426,3426,3426,794,162,unknown_family,u_Others_162,149,unknown_family,u_Others_149
JAUCFR010000004.1.region005,T3PKS,PKSother,GCA_030348365.1,JAUCFR010000004.1,3427,3427,3427,,330,unknown_family,u_PKSother_330,287,unknown_family,u_PKSother_287
JAUCFR010000004.1.region002,LAP,RiPPs,GCA_030348365.1,JAUCFR010000004.1,3424,3424,3424,2582,278,unknown_family,u_RiPPs_278,244,unknown_family,u_RiPPs_244
JAUCFR010000004.1.region008,NRPS,NRPS,GCA_030348365.1,JAUCFR010000004.1,3430,3430,3430,,320,unknown_family,u_NRPS_320,278,unknown_family,u_NRPS_278
JAUCFR010000004.1.region003,terpene,Terpene,GCA_030348365.1,JAUCFR010000004.1,3425,3425,3425,2488,358,unknown_family,u_Terpene_358,312,unknown_family,u_Terpene_312
JAUCFR010000004.1.region001,arylpolyene,Others,GCA_030348365.1,JAUCFR010000004.1,3423,3423,3423,794,150,unknown_family,u_Others_150,138,unknown_family,u_Others_138
JAUCFR010000004.1.region007,lassopeptide,RiPPs,GCA_030348365.1,JAUCFR010000004.1,3429,3429,3429,2582,286,unknown_family,u_RiPPs_286,251,unknown_family,u_RiPPs_251
JAUCFR010000004.1.region006,terpene,Terpene,GCA_030348365.1,JAUCFR010000004.1,3428,3428,3428,2488,349,unknown_family,u_Terpene_349,303,unknown_family,u_Terpene_303
JAUCFB010000001.1.region003,NRP-metallophore.NRPS,Others,GCA_030348665.1,JAUCFB010000001.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
JAUCFB010000001.1.region004,RiPP-like,RiPPs,GCA_030348665.1,JAUCFB010000001.1,2975,2975,2975,2582,46,unknown_family,u_RiPPs_46,42,unknown_family,u_RiPPs_42
JAUCFB010000008.1.region001,lanthipeptide-class-ii,RiPPs,GCA_030348665.1,JAUCFB010000008.1,3270,2850,2850,2582,103,unknown_family,u_RiPPs_103,94,unknown_family,u_RiPPs_94
JAUCFB010000007.1.region001,NRPS,NRPS,GCA_030348665.1,JAUCFB010000007.1,2910,2910,2910,,31,unknown_family,u_NRPS_31,26,unknown_family,u_NRPS_26
JAUCFB010000001.1.region001,LAP,RiPPs,GCA_030348665.1,JAUCFB010000001.1,3566,3566,3566,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
JAUCFB010000001.1.region008,lassopeptide,RiPPs,GCA_030348665.1,JAUCFB010000001.1,3558,2894,2894,2894,35,unknown_family,u_RiPPs_35,29,unknown_family,u_RiPPs_29
JAUCFB010000001.1.region002,NI-siderophore,Others,GCA_030348665.1,JAUCFB010000001.1,3322,3322,3322,3322,3,known_family,petrobactin,7,known_family,petrobactin
JAUCFB010000001.1.region005,betalactone,Others,GCA_030348665.1,JAUCFB010000001.1,3563,2937,3563,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
JAUCFB010000001.1.region006,RiPP-like,RiPPs,GCA_030348665.1,JAUCFB010000001.1,3057,3057,3057,2582,5,unknown_family,u_RiPPs_5,9,unknown_family,u_RiPPs_9
JAUCFB010000001.1.region007,terpene,Terpene,GCA_030348665.1,JAUCFB010000001.1,3326,3326,3326,3326,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP126515.1.region005,betalactone,Others,GCA_030166975.1,CP126515.1,3068,3563,3068,2937,1,unknown_family,u_Others_1,1,known_family,fengycin
CP126515.1.region003,NRP-metallophore.NRPS,Others,GCA_030166975.1,CP126515.1,3067,3067,3067,794,6,unknown_family,u_Others_6,2,unknown_family,u_Others_2
CP126513.1.region001,lanthipeptide-class-ii,RiPPs,GCA_030166975.1,CP126513.1,2840,2840,2840,2582,249,unknown_family,u_RiPPs_249,221,unknown_family,u_RiPPs_221
CP126515.1.region007,terpene,Terpene,GCA_030166975.1,CP126515.1,2941,2941,2941,2941,2,unknown_family,u_Terpene_2,5,unknown_family,u_Terpene_5
CP126515.1.region004,RRE-containing,RiPPs,GCA_030166975.1,CP126515.1,2844,2844,2844,2582,200,unknown_family,u_RiPPs_200,179,unknown_family,u_RiPPs_179
CP126515.1.region006,RiPP-like,RiPPs,GCA_030166975.1,CP126515.1,3015,2714,3071,2582,121,unknown_family,u_RiPPs_121,9,unknown_family,u_RiPPs_9
CP126515.1.region002,NI-siderophore,Others,GCA_030166975.1,CP126515.1,2934,2934,2934,3322,3,known_family,petrobactin,7,known_family,petrobactin
CP126515.1.region001,LAP,RiPPs,GCA_030166975.1,CP126515.1,3065,3065,3065,3065,4,unknown_family,u_RiPPs_4,8,unknown_family,u_RiPPs_8
JAVIVT010000002.1.region001,T3PKS,PKSother,GCA_031324195.1,JAVIVT010000002.1,2626,3584,3584,,332,unknown_family,u_PKSother_332,289,unknown_family,u_PKSother_289
JAVIVT010000002.1.region002,terpene,Terpene,GCA_031324195.1,JAVIVT010000002.1,3585,3585,3585,2488,342,unknown_family,u_Terpene_342,298,unknown_family,u_Terpene_298
JAVIVT010000001.1.region001,NI-siderophore,Others,GCA_031324195.1,JAVIVT010000001.1,3583,3583,3583,794,178,unknown_family,u_Others_178,3,unknown_family,u_Others_3
JAVIVT010000002.1.region004,LAP.thiopeptide,RiPPs,GCA_031324195.1,JAVIVT010000002.1,3587,3587,3587,2582,267,unknown_family,u_RiPPs_267,236,unknown_family,u_RiPPs_236
JAVIVT010000002.1.region003,NRPS,NRPS,GCA_031324195.1,JAVIVT010000002.1,3586,3586,3586,,299,unknown_family,u_NRPS_299,260,unknown_family,u_NRPS_260
CP126106.1.region008,lassopeptide,RiPPs,GCA_030123325.1,CP126106.1,3550,3007,3007,2582,25,unknown_family,u_RiPPs_25,22,unknown_family,u_RiPPs_22
CP126106.1.region002,NRPS,NRPS,GCA_030123325.1,CP126106.1,2770,2770,2770,,304,unknown_family,u_NRPS_304,264,unknown_family,u_NRPS_264
CP126106.1.region001,NRPS,NRPS,GCA_030123325.1,CP126106.1,351,351,351,,21,known_family,koranimine,19,known_family,koranimine
CP126106.1.region004,betalactone,Others,GCA_030123325.1,CP126106.1,3422,3422,3422,794,13,unknown_family,u_Others_13,1,known_family,fengycin
CP126106.1.region009,LAP,RiPPs,GCA_030123325.1,CP126106.1,3549,3549,3549,2582,14,unknown_family,u_RiPPs_14,14,unknown_family,u_RiPPs_14
CP126106.1.region010,transAT-PKS.NRPS,PKS-NRP_Hybrids,GCA_030123325.1,CP126106.1,2778,2778,2778,1023,374,unknown_family,u_PKS-NRP_Hybrids_374,328,unknown_family,u_PKS-NRP_Hybrids_328
CP126106.1.region005,opine-like-metallophore,Others,GCA_030123325.1,CP126106.1,2264,2773,2773,794,143,unknown_family,u_Others_143,132,unknown_family,u_Others_132
CP126106.1.region003,betalactone,Others,GCA_030123325.1,CP126106.1,2771,2771,2771,794,182,unknown_family,u_Others_182,163,unknown_family,u_Others_163
CP126106.1.region007,terpene,Terpene,GCA_030123325.1,CP126106.1,3551,3551,3551,2488,18,unknown_family,u_Terpene_18,17,unknown_family,u_Terpene_17
CP126106.1.region006,T3PKS,PKSother,GCA_030123325.1,CP126106.1,3421,3421,3421,,16,unknown_family,u_PKSother_16,15,unknown_family,u_PKSother_15
CP126106.1.region011,terpene,Terpene,GCA_030123325.1,CP126106.1,2779,2779,2779,2488,17,unknown_family,u_Terpene_17,16,unknown_family,u_Terpene_16
CP126106.1.region012,NI-siderophore,Others,GCA_030123325.1,CP126106.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
JASNQX010000006.1.region011,LAP.RRE-containing,RiPPs,GCA_030176975.1,JASNQX010000006.1,3487,3119,3487,2582,56,known_family,plantazolicin,40,known_family,plantazolicin;plantazolicin
JASNQX010000006.1.region004,T3PKS,PKSother,GCA_030176975.1,JASNQX010000006.1,2765,3480,2765,,48,unknown_family,u_PKSother_48,4,unknown_family,u_PKSother_4
JASNQX010000006.1.region006,transAT-PKS.betalactone.NRPS,Others,GCA_030176975.1,JASNQX010000006.1,3539,2750,3539,794,41,known_family,fengycin,1,known_family,fengycin
JASNQX010000006.1.region007,transAT-PKS.T3PKS.NRPS,PKS-NRP_Hybrids,GCA_030176975.1,JASNQX010000006.1,1023,1023,1023,1023,10,known_family,bacillaene,12,known_family,bacillaene
JASNQX010000006.1.region005,terpene,Terpene,GCA_030176975.1,JASNQX010000006.1,3538,3538,3538,3538,7,unknown_family,u_Terpene_7,6,unknown_family,u_Terpene_6
JASNQX010000006.1.region008,transAT-PKS,PKSother,GCA_030176975.1,JASNQX010000006.1,2748,2748,2748,,40,known_family,macrolactin H;macrolactin B;macrolactin 1c;macrolactin E;macrolactin H,33,known_family,macrolactin H;macrolactin B;macrolactin 1c;macrolactin E;macrolactin H
JASNQX010000006.1.region001,other,Others,GCA_030176975.1,JASNQX010000006.1,1105,1105,1105,3317,8,known_family,bacilysin;bacilysin,10,known_family,bacilysin;bacilysin
JASNQX010000006.1.region010,PKS-like,PKSother,GCA_030176975.1,JASNQX010000006.1,3486,3486,3486,,49,unknown_family,u_PKSother_49,44,unknown_family,u_PKSother_44
JASNQX010000006.1.region012,NRPS,NRPS,GCA_030176975.1,JASNQX010000006.1,3545,3545,3545,,9,known_family,surfactin,11,known_family,surfactin
JASNQX010000006.1.region002,RiPP-like.NRP-metallophore.NRPS,Others,GCA_030176975.1,JASNQX010000006.1,3548,3548,3548,794,11,unknown_family,u_Others_11,2,unknown_family,u_Others_2
JASNQX010000006.1.region009,terpene,Terpene,GCA_030176975.1,JASNQX010000006.1,3485,3485,3485,2488,50,unknown_family,u_Terpene_50,45,unknown_family,u_Terpene_45
JASNQX010000006.1.region003,transAT-PKS,PKSother,GCA_030176975.1,JASNQX010000006.1,3384,3384,3384,,44,known_family,difficidin,36,known_family,difficidin
JAUCEN010000002.1.region007,NI-siderophore,Others,GCA_030348945.1,JAUCEN010000002.1,3556,3415,3556,794,12,unknown_family,u_Others_12,3,unknown_family,u_Others_3
